timestamp,base_yaw.pos,base_pitch.pos,elbow_pitch.pos,wrist_roll.pos,wrist_pitch.pos
0.0,2.9934,-29.9475,57.0591,-0.1979,18.1642
0.0333,2.9879,-29.9449,57.0561,-0.1904,18.1636
0.0667,2.9936,-29.9405,57.0535,-0.1839,18.1627
0.1,3.0025,-29.9356,57.0504,-0.1772,18.1613
0.1333,3.0213,-29.9291,57.0466,-0.1703,18.1585
0.1667,3.0534,-29.9204,57.0413,-0.1625,18.1534
0.2,3.1025,-29.9089,57.0337,-0.1526,18.1445
0.2333,3.1721,-29.8941,57.0228,-0.1392,18.1301
0.2667,3.2657,-29.8752,57.0076,-0.1206,18.1085
0.3,3.3868,-29.8518,56.9872,-0.0951,18.0779
0.3333,3.5389,-29.8231,56.9605,-0.0611,18.0366
0.3667,3.7255,-29.7885,56.9266,-0.0168,17.9829
0.4,3.9502,-29.7475,56.8843,0.0396,17.915
0.4333,4.2163,-29.6992,56.8326,0.1099,17.8311
0.4667,4.5273,-29.6431,56.7705,0.1957,17.7297
0.5,4.8868,-29.5785,56.6969,0.2989,17.609
0.5333,5.2982,-29.5047,56.6107,0.4213,17.4674
0.5667,5.7649,-29.4209,56.5107,0.5645,17.3031
0.6,6.2894,-29.3265,56.396,0.7305,17.1145
0.6333,6.8707,-29.221,56.2653,0.9209,16.8999
0.6667,7.5,-29.1046,56.1178,1.1376,16.6578
0.7,8.1575,-28.9792,55.9534,1.3823,16.3869
0.7333,8.816,-28.8489,55.7746,1.6557,16.0879
0.7667,9.4477,-28.7192,55.5867,1.9561,15.7653
0.8,10.0332,-28.5954,55.3976,2.2771,15.4289
0.8333,10.5634,-28.4811,55.2157,2.6069,15.0926
0.8667,11.0373,-28.3779,55.047,2.9313,14.7703
0.9,11.4572,-28.2858,54.8945,3.2377,14.4717
0.9333,11.8266,-28.2041,54.7585,3.5186,14.2015
0.9667,12.1486,-28.1321,54.6383,3.7713,13.9602
1.0,12.4266,-28.0692,54.5329,3.9963,13.7468
1.0333,12.6639,-28.0145,54.441,4.195,13.5594
1.0667,12.8638,-27.9674,54.3618,4.3691,13.3966
1.1,13.0296,-27.9271,54.2941,4.5203,13.2567
1.1333,13.1647,-27.893,54.237,4.6501,13.138
1.1667,13.2723,-27.8643,54.1895,4.7603,13.0388
1.2,13.3559,-27.8405,54.1504,4.8523,12.9575
1.2333,13.4186,-27.8209,54.119,4.928,12.8924
1.2667,13.464,-27.8048,54.0941,4.9888,12.8418
1.3,13.4953,-27.7916,54.0749,5.0365,12.8038
1.3333,13.5158,-27.7807,54.0603,5.0725,12.7769
1.3667,13.5285,-27.7716,54.0495,5.0986,12.7593
1.4,13.5357,-27.7636,54.0415,5.1163,12.7491
1.4333,13.5388,-27.7564,54.0354,5.1274,12.7447
1.4667,13.5377,-27.7499,54.0307,5.1333,12.7444
1.5,13.5317,-27.7443,54.0271,5.1353,12.7471
1.5333,13.5189,-27.7398,54.0244,5.1345,12.752
1.5667,13.4977,-27.7368,54.0232,5.1312,12.759
1.6,13.4661,-27.7358,54.0239,5.1252,12.7684
1.6333,13.4234,-27.7374,54.0271,5.1158,12.7809
1.6667,13.3707,-27.7416,54.0336,5.1022,12.7975
1.7,13.3121,-27.7484,54.0437,5.0834,12.8189
1.7333,13.2535,-27.757,54.057,5.0586,12.8456
1.7667,13.2009,-27.7661,54.0727,5.0279,12.8767
1.8,13.1584,-27.7747,54.0889,4.9923,12.9104
1.8333,13.1271,-27.7821,54.1038,4.9544,12.9436
1.8667,13.1061,-27.7882,54.1163,4.9174,12.9733
1.9,13.0951,-27.7945,54.1257,4.8841,12.9974
1.9333,13.0976,-27.8046,54.1324,4.8559,13.0153
1.9667,13.1235,-27.8229,54.1321,4.833,13.0276
2.0,13.1859,-27.8498,54.1161,4.8147,13.0371
2.0333,13.2939,-27.8808,54.0711,4.7999,13.0489
2.0667,13.4444,-27.9067,53.9981,4.7877,13.0699
2.1,13.6238,-27.9232,53.9122,4.7784,13.1008
2.1333,13.8156,-27.9301,53.8421,4.7729,13.1357
2.1667,14.0074,-27.9319,53.8014,4.7721,13.1624
2.2,14.1932,-27.9318,53.7894,4.7754,13.1747
2.2333,14.3706,-27.9312,53.7912,4.7814,13.1724
2.2667,14.5384,-27.9302,53.797,4.788,13.1617
2.3,14.6954,-27.929,53.802,4.7942,13.1466
2.3333,14.8405,-27.9275,53.8063,4.7996,13.1294
2.3667,14.9728,-27.926,53.8097,4.8042,13.1102
2.4,15.0911,-27.9244,53.8124,4.8081,13.0891
2.4333,15.1949,-27.923,53.8143,4.8111,13.0662
2.4667,15.2832,-27.9217,53.8156,4.8134,13.0419
2.5,15.3555,-27.9207,53.8164,4.8151,13.0163
2.5333,15.4113,-27.9201,53.8166,4.8161,12.9896
2.5667,15.4501,-27.9198,53.8165,4.8166,12.9622
2.6,15.4718,-27.9201,53.816,4.8166,12.9343
2.6333,15.4762,-27.9209,53.8153,4.8162,12.9062
2.6667,15.4631,-27.9222,53.8144,4.8156,12.8782
2.7,15.4328,-27.9241,53.8136,4.8149,12.8504
2.7333,15.3855,-27.9266,53.8128,4.814,12.8232
2.7667,15.3214,-27.9297,53.8121,4.8132,12.7967
2.8,15.241,-27.9333,53.8117,4.8124,12.7713
2.8333,15.1449,-27.9375,53.8116,4.8119,12.747
2.8667,15.0337,-27.9421,53.8118,4.8116,12.7241
2.9,14.9083,-27.947,53.8124,4.8117,12.7027
2.9333,14.7695,-27.9523,53.8135,4.8121,12.6828
2.9667,14.6183,-27.9578,53.8149,4.8129,12.6646
3.0,14.4558,-27.9634,53.8168,4.8141,12.648
3.0333,14.283,-27.9691,53.8192,4.8158,12.6332
3.0667,14.1012,-27.9746,53.8219,4.8179,12.6199
3.1,13.9117,-27.98,53.825,4.8205,12.6083
3.1333,13.7158,-27.9851,53.8283,4.8234,12.5982
3.1667,13.5149,-27.9897,53.8319,4.8266,12.5894
3.2,13.3104,-27.9939,53.8357,4.8301,12.5819
3.2333,13.1037,-27.9975,53.8395,4.8338,12.5755
3.2667,12.8963,-28.0004,53.8432,4.8376,12.57
3.3,12.6896,-28.0026,53.8469,4.8414,12.5652
3.3333,12.4851,-28.004,53.8503,4.8451,12.5609
3.3667,12.2842,-28.0045,53.8534,4.8486,12.557
3.4,12.0883,-28.0042,53.856,4.8519,12.5532
3.4333,11.8988,-28.0031,53.8581,4.8547,12.5494
3.4667,11.717,-28.001,53.8595,4.8571,12.5453
3.5,11.5442,-27.9981,53.8603,4.8589,12.5409
3.5333,11.3817,-27.9945,53.8603,4.86,12.5359
3.5667,11.2305,-27.99,53.8594,4.8604,12.5304
3.6,11.0917,-27.985,53.8577,4.86,12.524
3.6333,10.9663,-27.9793,53.8551,4.8587,12.5169
3.6667,10.8551,-27.9732,53.8515,4.8565,12.509
3.7,10.759,-27.9666,53.847,4.8534,12.5002
3.7333,10.6786,-27.9599,53.8416,4.8494,12.4905
3.7667,10.6145,-27.9529,53.8354,4.8444,12.4802
3.8,10.5672,-27.946,53.8283,4.8386,12.4691
3.8333,10.5369,-27.9393,53.8205,4.832,12.4574
3.8667,10.5238,-27.9327,53.8121,4.8245,12.4453
3.9,10.5282,-27.9266,53.803,4.8164,12.4329
3.9333,10.5499,-27.921,53.7936,4.8076,12.4204
3.9667,10.5887,-27.9159,53.7837,4.7983,12.4079
4.0,10.6445,-27.9117,53.7737,4.7887,12.3956
4.0333,10.7168,-27.9082,53.7636,4.7787,12.3839
4.0667,10.8051,-27.9056,53.7535,4.7686,12.3727
4.1,10.9089,-27.904,53.7436,4.7585,12.3625
4.1333,11.0272,-27.9034,53.734,4.7485,12.3532
4.1667,11.1595,-27.9038,53.7249,4.7387,12.3453
4.2,11.3046,-27.9052,53.7163,4.7294,12.3387
4.2333,11.4616,-27.9077,53.7084,4.7205,12.3336
4.2667,11.6294,-27.9112,53.7013,4.7122,12.3302
4.3,11.8068,-27.9157,53.695,4.7047,12.3286
4.3333,11.9926,-27.9211,53.6897,4.698,12.3287
4.3667,12.1855,-27.9274,53.6854,4.6922,12.3308
4.4,12.3841,-27.9344,53.6821,4.6874,12.3346
4.4333,12.587,-27.942,53.6799,4.6836,12.3403
4.4667,12.7928,-27.9502,53.6788,4.6809,12.3478
4.5,13.0,-27.9589,53.6787,4.6792,12.3569
4.5333,13.2072,-27.9678,53.6797,4.6786,12.3675
4.5667,13.413,-27.9769,53.6816,4.6791,12.3795
4.6,13.6159,-27.9861,53.6845,4.6805,12.3927
4.6333,13.8145,-27.9952,53.6882,4.6829,12.4068
4.6667,14.0074,-28.0041,53.6926,4.6862,12.4217
4.7,14.1932,-28.0127,53.6977,4.6903,12.4371
4.7333,14.3706,-28.0209,53.7034,4.6951,12.4527
4.7667,14.5384,-28.0285,53.7095,4.7005,12.4684
4.8,14.6954,-28.0356,53.7158,4.7064,12.4837
4.8333,14.8405,-28.0419,53.7224,4.7126,12.4986
4.8667,14.9728,-28.0476,53.729,4.7191,12.5126
4.9,15.0911,-28.0525,53.7356,4.7257,12.5256
4.9333,15.1949,-28.0565,53.7419,4.7323,12.5374
4.9667,15.2832,-28.0598,53.748,4.7388,12.5477
5.0,15.3555,-28.0622,53.7537,4.745,12.5565
5.0333,15.4113,-28.0639,53.7588,4.7509,12.5634
5.0667,15.4501,-28.0648,53.7635,4.7563,12.5685
5.1,15.4718,-28.065,53.7675,4.7612,12.5717
5.1333,15.4762,-28.0646,53.7708,4.7655,12.5728
5.1667,15.4631,-28.0636,53.7734,4.7692,12.572
5.2,15.4328,-28.0621,53.7753,4.7722,12.5691
5.2333,15.3855,-28.0602,53.7765,4.7744,12.5644
5.2667,15.3214,-28.058,53.7769,4.776,12.5578
5.3,15.241,-28.0557,53.7767,4.7768,12.5495
5.3333,15.1449,-28.0532,53.7759,4.7769,12.5397
5.3667,15.0337,-28.0507,53.7744,4.7764,12.5286
5.4,14.9083,-28.0482,53.7725,4.7752,12.5163
5.4333,14.7695,-28.046,53.7702,4.7735,12.5031
5.4667,14.6183,-28.044,53.7675,4.7714,12.4892
5.5,14.4558,-28.0423,53.7646,4.7689,12.4749
5.5333,14.283,-28.0409,53.7616,4.7661,12.4603
5.5667,14.1012,-28.0399,53.7586,4.7631,12.4459
5.6,13.9117,-28.0394,53.7556,4.7601,12.4318
5.6333,13.7158,-28.0393,53.7527,4.757,12.4183
5.6667,13.5149,-28.0397,53.7501,4.7541,12.4056
5.7,13.3104,-28.0404,53.7479,4.7514,12.3938
5.7333,13.1037,-28.0416,53.746,4.749,12.3833
5.7667,12.8963,-28.0431,53.7447,4.7469,12.3741
5.8,12.6896,-28.0449,53.7439,4.7453,12.3663
5.8333,12.4851,-28.0469,53.7436,4.7442,12.3602
5.8667,12.2842,-28.0491,53.7439,4.7437,12.3557
5.9,12.0883,-28.0512,53.7449,4.7437,12.3529
5.9333,11.8988,-28.0534,53.7464,4.7443,12.3518
5.9667,11.717,-28.0554,53.7485,4.7455,12.3523
6.0,11.5442,-28.0571,53.7511,4.7474,12.3544
6.0333,11.3817,-28.0585,53.7542,4.7497,12.3581
6.0667,11.2305,-28.0594,53.7578,4.7526,12.3631
6.1,11.0917,-28.0598,53.7617,4.756,12.3694
6.1333,10.9663,-28.0595,53.7659,4.7597,12.3768
6.1667,10.8551,-28.0585,53.7703,4.7638,12.3851
6.2,10.759,-28.0567,53.7747,4.7681,12.3941
6.2333,10.6786,-28.054,53.7791,4.7725,12.4037
6.2667,10.6145,-28.0505,53.7834,4.7769,12.4135
6.3,10.5672,-28.046,53.7875,4.7813,12.4235
6.3333,10.5369,-28.0406,53.7913,4.7855,12.4333
6.3667,10.5238,-28.0342,53.7946,4.7895,12.4429
6.4,10.5562,-28.0276,53.7975,4.793,12.452
6.4333,10.6887,-28.0221,53.7998,4.7961,12.4605
6.4667,11.0017,-28.0202,53.8054,4.7987,12.4682
6.5,11.4876,-28.0229,53.8225,4.8037,12.4834
6.5333,12.0535,-28.0297,53.8633,4.8174,12.5222
6.5667,12.5248,-28.0376,53.9285,4.8489,12.6091
6.6,12.8164,-28.0443,54.007,4.8988,12.7435
6.6333,12.9311,-28.0491,54.0752,4.9584,12.9005
6.6667,12.957,-28.0528,54.1211,5.0096,13.0305
6.7,12.9516,-28.0562,54.1441,5.043,13.1096
6.7333,12.9433,-28.0599,54.1558,5.0582,13.1392
6.7667,12.9315,-28.0639,54.1638,5.0637,13.1449
6.8,12.9154,-28.0681,54.1723,5.0654,13.1442
6.8333,12.8944,-28.0728,54.1813,5.0658,13.1456
6.8667,12.8678,-28.0779,54.191,5.0647,13.1496
6.9,12.835,-28.0835,54.2015,5.0617,13.1566
6.9333,12.7954,-28.0898,54.2129,5.0564,13.1668
6.9667,12.7481,-28.0968,54.2255,5.0486,13.1806
7.0,12.6928,-28.1047,54.2394,5.0378,13.1983
7.0333,12.6286,-28.1135,54.2548,5.0237,13.2203
7.0667,12.5549,-28.1235,54.2719,5.0059,13.2467
7.1,12.4713,-28.1347,54.2909,4.9841,13.278
7.1333,12.3769,-28.1474,54.3121,4.9578,13.3142
7.1667,12.2714,-28.1617,54.3356,4.9268,13.3558
7.2,12.154,-28.1778,54.3618,4.8906,13.4029
7.2333,12.0243,-28.196,54.3909,4.8489,13.4557
7.2667,11.8816,-28.2163,54.4232,4.8013,13.5145
7.3,11.7254,-28.2391,54.4588,4.7475,13.5794
7.3333,11.5553,-28.2644,54.498,4.6872,13.6507
7.3667,11.3706,-28.2927,54.5411,4.62,13.7285
7.4,11.1708,-28.324,54.5884,4.5456,13.813
7.4333,10.9556,-28.3585,54.64,4.4638,13.9045
