timestamp,base_yaw.pos,base_pitch.pos,elbow_pitch.pos,wrist_roll.pos,wrist_pitch.pos
0.0,3.0,-30.0,57.0,0.0,18.0
0.0333,3.1,-29.8,56.8,0.1,17.8
0.0667,3.8,-28.7,55.9,0.7,16.6
0.1,5.3,-26.9,54.4,2.0,14.9
0.1333,7.6,-25.7,53.4,3.9,14.1
0.1667,10.6,-26.5,54.1,5.8,16.2
0.2,13.6,-30.0,57.0,7.2,21.5
0.2333,16.0,-24.8,52.6,7.6,15.8
0.2667,17.4,-20,48.6,6.6,10.3
0.3,17.3,-20,47.0,4.3,7.8
0.3333,16.0,-20,48.3,1.5,9.3
0.3667,14.1,-24.0,52.0,-1.5,14.2
0.4,11.8,-30.0,57.0,-4.3,20.9
0.4333,9.1,-24.0,52.0,-6.8,12.5
0.4667,6.1,-20,48.3,-8.7,6.0
0.5,3.0,-20,47.0,-9.7,3.0
0.5333,-0.1,-20,48.3,-10.0,4.0
0.5667,-3.1,-24.0,52.0,-9.3,8.5
0.6,-5.8,-30.0,57.0,-7.8,15.1
0.6333,-8.1,-24.0,52.0,-5.6,6.8
0.6667,-10.0,-20,48.3,-2.9,0.7
0.7,-11.3,-20,47.0,-0.0,-1.8
0.7333,-11.9,-20,48.3,2.9,0.0
0.7667,-11.9,-24.0,52.0,5.6,5.5
0.8,-11.3,-30.0,57.0,7.8,13.2
0.8333,-10.0,-24.0,52.0,9.3,6.2
0.8667,-8.1,-20,48.3,10.0,1.3
0.9,-5.8,-20,47.0,9.7,0.1
0.9333,-3.1,-20,48.3,8.7,3.0
0.9667,-0.1,-24.0,52.0,6.8,9.5
1.0,3.0,-30.0,57.0,4.3,18.0
1.0333,6.1,-24.0,52.0,1.5,11.5
1.0667,9.1,-20,48.3,-1.5,7.0
1.1,11.8,-20,47.0,-4.3,5.9
1.1333,14.1,-20,48.3,-6.8,8.7
1.1667,16.0,-24.0,52.0,-8.7,14.8
1.2,17.3,-30.0,57.0,-9.7,22.8
1.2333,17.9,-24.0,52.0,-10.0,15.5
1.2667,17.9,-20,48.3,-9.3,10.0
1.3,17.3,-20,47.0,-7.8,7.8
1.3333,16.0,-20,48.3,-5.6,9.3
1.3667,14.1,-24.0,52.0,-2.9,14.2
1.4,11.8,-30.0,57.0,-0.0,20.9
1.4333,9.1,-24.0,52.0,2.9,12.5
1.4667,6.1,-20,48.3,5.6,6.0
1.5,3.0,-20,47.0,7.8,3.0
1.5333,-0.1,-20,48.3,9.3,4.0
1.5667,-3.1,-24.0,52.0,10.0,8.5
1.6,-5.8,-30.0,57.0,9.7,15.1
1.6333,-8.1,-24.0,52.0,8.7,6.8
1.6667,-10.0,-20,48.3,6.8,0.7
1.7,-11.3,-20,47.0,4.3,-1.8
1.7333,-11.9,-20,48.3,1.5,0.0
1.7667,-11.9,-24.0,52.0,-1.5,5.5
1.8,-11.3,-30.0,57.0,-4.3,13.2
1.8333,-10.0,-24.0,52.0,-6.8,6.2
1.8667,-8.1,-20,48.3,-8.7,1.3
1.9,-5.8,-20,47.0,-9.7,0.1
1.9333,-3.1,-20,48.3,-10.0,3.0
1.9667,-0.1,-24.0,52.0,-9.3,9.5
2.0,3.0,-30.0,57.0,-7.8,18.0
2.0333,6.1,-24.0,52.0,-5.6,11.5
2.0667,9.1,-20,48.3,-2.9,7.0
2.1,11.8,-20,47.0,-0.0,5.9
2.1333,14.1,-20,48.3,2.9,8.7
2.1667,16.0,-24.0,52.0,5.6,14.8
2.2,17.3,-30.0,57.0,7.8,22.8
2.2333,17.9,-24.0,52.0,9.3,15.5
2.2667,17.9,-20,48.3,10.0,10.0
2.3,17.3,-20,47.0,9.7,7.8
2.3333,16.0,-20,48.3,8.7,9.3
2.3667,14.1,-24.0,52.0,6.8,14.2
2.4,11.8,-30.0,57.0,4.3,20.9
2.4333,9.1,-24.0,52.0,1.5,12.5
2.4667,6.1,-20,48.3,-1.5,6.0
2.5,3.0,-20,47.0,-4.3,3.0
2.5333,-0.1,-20,48.3,-6.8,4.0
2.5667,-3.1,-24.0,52.0,-8.7,8.5
2.6,-5.8,-30.0,57.0,-9.7,15.1
2.6333,-8.1,-24.0,52.0,-10.0,6.8
2.6667,-10.0,-20,48.3,-9.3,0.7
2.7,-11.3,-20,47.0,-7.8,-1.8
2.7333,-11.9,-20,48.3,-5.6,0.0
2.7667,-11.9,-24.0,52.0,-2.9,5.5
2.8,-11.3,-30.0,57.0,-0.0,13.2
2.8333,-10.0,-24.0,52.0,2.9,6.2
2.8667,-8.1,-20,48.3,5.6,1.3
2.9,-5.8,-20,47.0,7.8,0.1
