timestamp,base_yaw.pos,base_pitch.pos,elbow_pitch.pos,wrist_roll.pos,wrist_pitch.pos
0.0,3.0,-30.0,57.0,0.0,18.0
0.0333,3.0,-30.0,57.0,-0.0,18.0
0.0667,3.1,-30.0,57.1,-0.0,18.0
0.1,3.3,-29.9,57.2,-0.1,18.2
0.1333,3.7,-29.8,57.5,-0.3,18.4
0.1667,4.5,-29.6,57.9,-0.6,18.7
0.2,5.5,-29.4,58.3,-1.1,19.1
0.2333,6.5,-29.5,58.4,-1.8,19.2
0.2667,7.3,-29.7,58.1,-2.3,19.1
0.3,7.3,-29.9,57.7,-2.2,19.0
0.3333,5.9,-29.9,57.2,-1.1,19.1
0.3667,3.0,-29.0,58.0,1.5,20.4
0.4,-0.6,-27.8,59.2,4.8,22.0
0.4333,-4.3,-27.2,59.3,7.6,22.6
0.4667,-7.5,-27.1,58.8,9.7,22.5
0.5,-9.7,-27.1,58.4,10.9,22.2
0.5333,-10.6,-27.4,57.9,11.1,21.5
0.5667,-10.1,-28.1,56.9,10.0,20.2
0.6,-8.5,-29.1,55.7,7.9,18.5
0.6333,-5.9,-29.6,55.5,5.4,17.4
0.6667,-2.6,-29.8,55.9,2.7,16.9
0.7,1.1,-29.8,56.8,-0.2,16.6
0.7333,4.9,-26.5,62.9,-1.1,21.0
0.7667,8.3,-25.2,65.8,-2.9,22.7
0.8,11.1,-24.9,66.8,-4.8,22.9
0.8333,13.0,-25.0,67.2,-6.3,22.8
0.8667,13.8,-25.2,67.0,-7.1,22.4
0.9,13.5,-26.1,65.6,-7.4,21.3
0.9333,12.1,-27.7,62.6,-7.3,19.1
0.9667,9.8,-29.0,59.9,-6.3,17.3
1.0,6.6,-29.6,58.2,-4.3,16.7
1.0333,3.1,-29.8,57.1,-1.7,16.6
1.0667,-0.6,-28.6,58.1,1.9,18.5
1.1,-4.1,-27.3,59.3,5.5,20.5
1.1333,-7.0,-27.0,59.2,8.1,21.3
1.1667,-9.1,-27.0,58.6,9.9,21.6
1.2,-10.1,-27.1,58.2,10.9,21.8
1.2333,-10.0,-27.4,57.7,10.9,21.7
1.2667,-8.6,-28.1,56.7,9.8,21.0
1.3,-6.2,-29.1,55.6,7.8,19.9
1.3333,-2.9,-29.6,55.4,5.4,19.4
1.3667,1.0,-29.8,55.9,2.7,19.3
1.4,5.2,-29.9,56.8,-0.1,19.5
1.4333,9.4,-26.6,62.8,-0.8,24.2
1.4667,13.2,-25.4,65.6,-2.5,26.1
1.5,16.2,-25.1,66.7,-4.4,26.5
1.5333,18.3,-25.2,67.0,-5.8,26.5
1.5667,19.2,-25.4,66.8,-6.6,26.2
1.6,18.8,-26.2,65.4,-6.8,25.1
1.6333,17.3,-27.8,62.6,-6.8,22.8
1.6667,14.7,-29.0,60.0,-5.8,20.9
1.7,11.3,-29.6,58.3,-3.9,19.9
1.7333,7.3,-29.8,57.2,-1.3,19.5
1.7667,3.1,-28.6,58.1,2.2,20.9
1.8,-0.9,-27.4,59.2,5.7,22.4
1.8333,-4.5,-27.0,59.1,8.2,22.6
1.8667,-7.3,-27.0,58.5,10.0,22.3
1.9,-9.1,-27.1,58.1,11.0,21.9
1.9333,-9.8,-27.4,57.5,11.0,21.2
1.9667,-9.4,-28.1,56.6,9.9,19.9
2.0,-7.8,-29.0,55.5,7.9,18.2
2.0333,-5.4,-29.6,55.4,5.5,17.2
2.0667,-2.3,-29.8,55.9,2.9,16.6
2.1,1.2,-29.8,56.7,0.2,16.3
2.1333,4.7,-26.7,62.6,-0.5,20.5
2.1667,7.9,-25.4,65.4,-2.1,22.0
2.2,10.5,-25.2,66.4,-4.0,22.2
2.2333,12.3,-25.2,66.8,-5.3,22.1
2.2667,13.1,-25.5,66.5,-6.1,21.6
2.3,12.8,-26.3,65.2,-6.4,20.6
2.3333,11.5,-27.8,62.5,-6.4,18.5
2.3667,9.3,-29.0,59.9,-5.5,16.9
2.4,6.3,-29.6,58.3,-3.7,16.2
2.4333,3.0,-29.8,57.2,-1.2,16.2
2.4667,-0.5,-28.7,58.0,2.2,18.0
2.5,-3.8,-27.5,59.1,5.6,19.9
2.5333,-6.5,-27.2,59.0,8.1,20.7
2.5667,-8.5,-27.2,58.5,9.8,21.0
2.6,-9.4,-27.3,58.0,10.7,21.2
2.6333,-9.3,-27.6,57.5,10.7,21.1
2.6667,-8.1,-28.3,56.7,9.6,20.4
2.7,-5.8,-29.2,55.6,7.7,19.4
2.7333,-2.7,-29.8,55.5,5.4,19.0
2.7667,1.0,-30.0,56.0,2.8,18.9
2.8,5.0,-30.0,56.9,0.2,19.1
2.8333,8.9,-27.0,62.6,-0.4,23.5
2.8667,12.5,-25.8,65.3,-2.0,25.4
2.9,15.3,-25.6,66.3,-3.7,25.8
2.9333,17.3,-25.7,66.7,-5.1,25.8
2.9667,18.1,-25.9,66.5,-5.8,25.5
3.0,17.8,-26.7,65.2,-6.1,24.4
3.0333,16.4,-28.1,62.5,-6.2,22.3
3.0667,14.0,-29.3,60.0,-5.3,20.5
3.1,10.8,-29.9,58.4,-3.5,19.6
3.1333,7.1,-30.0,57.3,-1.1,19.2
3.1667,3.1,-29.0,58.1,2.2,20.5
3.2,-0.7,-27.8,59.1,5.5,21.9
