timestamp,base_yaw.pos,base_pitch.pos,elbow_pitch.pos,wrist_roll.pos,wrist_pitch.pos
0.0,3.0,-30.0,57.0,0.0,18.0
0.0333,3.0,-30.0,57.0,-0.0,18.0
0.0667,3.0,-30.0,57.0,-0.0,18.0
0.1,3.2,-30.0,57.0,-0.1,18.0
0.1333,3.7,-30.0,57.0,-0.2,18.0
0.1667,4.5,-29.9,57.0,-0.3,18.0
0.2,5.8,-29.8,57.0,-0.6,18.0
0.2333,7.6,-29.7,57.0,-1.0,18.0
0.2667,9.7,-29.5,57.0,-1.5,17.9
0.3,12.0,-29.4,57.0,-2.0,17.9
0.3333,13.5,-29.3,57.0,-2.4,17.9
0.3667,13.4,-29.3,57.0,-2.4,17.8
0.4,12.0,-29.4,57.0,-2.0,17.8
0.4333,9.6,-29.6,57.0,-1.5,17.8
0.4667,6.5,-29.8,57.0,-0.8,17.8
0.5,3.0,-30.0,57.0,-0.0,17.8
0.5333,-0.5,-29.8,57.0,0.8,17.8
0.5667,-3.7,-29.5,57.0,1.5,17.8
0.6,-6.6,-29.3,57.0,2.2,17.8
0.6333,-8.9,-29.2,56.9,2.7,17.8
0.6667,-10.7,-29.1,56.9,3.1,17.8
0.7,-11.7,-29.0,56.9,3.4,17.8
0.7333,-12.2,-29.0,56.9,3.4,17.8
0.7667,-11.9,-29.0,56.9,3.4,17.8
0.8,-11.0,-29.0,56.9,3.2,17.8
0.8333,-9.6,-29.1,56.9,2.9,17.8
0.8667,-7.6,-29.3,56.9,2.4,17.8
0.9,-5.2,-29.4,56.8,1.9,17.8
0.9333,-2.6,-29.6,56.8,1.3,17.8
0.9667,0.2,-29.8,56.8,0.6,17.8
1.0,3.0,-30.0,56.8,0.0,17.8
1.0333,5.7,-29.8,56.8,-0.6,17.8
1.0667,8.2,-29.6,56.8,-1.2,17.8
1.1,10.5,-29.5,56.8,-1.7,17.8
1.1333,12.3,-29.4,56.8,-2.1,17.8
1.1667,13.6,-29.3,56.8,-2.4,17.8
1.2,14.5,-29.2,56.7,-2.6,17.9
1.2333,14.8,-29.2,56.7,-2.7,17.9
1.2667,14.6,-29.2,56.7,-2.6,17.9
1.3,13.9,-29.3,56.7,-2.5,17.9
1.3333,12.8,-29.3,56.7,-2.2,17.9
1.3667,11.3,-29.4,56.7,-1.9,17.9
1.4,9.4,-29.6,56.7,-1.5,17.9
1.4333,7.4,-29.7,56.7,-1.0,17.9
1.4667,5.2,-29.9,56.7,-0.5,17.9
1.5,3.0,-30.0,56.7,-0.0,18.0
1.5333,0.9,-29.9,56.7,0.5,18.0
1.5667,-1.1,-29.7,56.7,0.9,18.0
1.6,-2.8,-29.6,56.7,1.3,18.0
1.6333,-4.2,-29.5,56.7,1.6,18.0
1.6667,-5.3,-29.4,56.7,1.9,18.0
1.7,-5.9,-29.4,56.7,2.0,18.1
1.7333,-6.2,-29.4,56.7,2.1,18.1
1.7667,-6.0,-29.4,56.7,2.1,18.1
1.8,-5.5,-29.4,56.7,1.9,18.1
1.8333,-4.6,-29.5,56.7,1.7,18.1
1.8667,-3.4,-29.6,56.7,1.5,18.1
1.9,-2.0,-29.7,56.8,1.1,18.2
1.9333,-0.4,-29.8,56.8,0.8,18.2
1.9667,1.3,-29.9,56.8,0.4,18.2
2.0,3.0,-30.0,56.8,0.0,18.2
2.0333,4.7,-29.9,56.8,-0.4,18.2
2.0667,6.2,-29.8,56.8,-0.7,18.2
2.1,7.5,-29.7,56.8,-1.0,18.2
2.1333,8.6,-29.6,56.8,-1.3,18.3
2.1667,9.4,-29.6,56.8,-1.5,18.3
2.2,10.0,-29.5,56.8,-1.6,18.3
2.2333,10.2,-29.5,56.8,-1.6,18.3
2.2667,10.0,-29.5,56.8,-1.6,18.3
2.3,9.6,-29.5,56.9,-1.5,18.3
2.3333,8.9,-29.6,56.9,-1.3,18.3
2.3667,8.0,-29.7,56.9,-1.1,18.3
2.4,6.9,-29.7,56.9,-0.9,18.3
2.4333,5.7,-29.8,56.9,-0.6,18.3
2.4667,4.3,-29.9,56.9,-0.3,18.3
2.5,3.0,-30.0,56.9,-0.0,18.3
2.5333,1.7,-29.9,56.9,0.3,18.3
2.5667,0.5,-29.8,56.9,0.6,18.3
2.6,-0.5,-29.8,56.9,0.8,18.3
2.6333,-1.4,-29.7,56.9,1.0,18.3
2.6667,-2.0,-29.7,56.9,1.1,18.3
2.7,-2.4,-29.6,56.9,1.2,18.3
2.7333,-2.6,-29.6,57.0,1.3,18.3
2.7667,-2.5,-29.6,57.0,1.2,18.3
2.8,-2.2,-29.6,57.0,1.2,18.3
2.8333,-1.6,-29.7,57.0,1.1,18.2
2.8667,-0.9,-29.7,57.0,0.9,18.2
2.9,-0.0,-29.8,57.0,0.7,18.2
2.9333,0.9,-29.9,57.0,0.5,18.2
2.9667,2.0,-29.9,57.0,0.2,18.2
3.0,3.0,-30.0,57.0,0.0,18.2
3.0333,4.0,-29.9,57.0,-0.2,18.2
3.0667,4.9,-29.9,57.0,-0.4,18.2
3.1,5.7,-29.8,57.0,-0.6,18.2
3.1333,6.4,-29.8,57.0,-0.8,18.1
3.1667,6.9,-29.7,57.0,-0.9,18.1
3.2,7.2,-29.7,57.1,-1.0,18.1
