timestamp,base_yaw.pos,base_pitch.pos,elbow_pitch.pos,wrist_roll.pos,wrist_pitch.pos
0.0,3.0,-30.0,57.0,0.0,18.0
0.0333,3.0,-30.0,57.0,0.0,18.0
0.0667,3.0,-30.0,57.0,0.0,18.0
0.1,3.0,-30.0,57.0,0.0,18.0
0.1333,3.1,-30.0,57.1,0.1,18.0
0.1667,3.2,-29.9,57.1,0.1,18.0
0.2,3.3,-29.9,57.1,0.1,18.0
0.2333,3.6,-29.9,57.0,0.1,17.9
0.2667,3.9,-30.0,56.8,0.1,17.7
0.3,4.4,-30.1,56.6,0.1,17.4
0.3333,5.0,-30.3,56.3,-0.0,17.1
0.3667,5.8,-30.5,56.2,-0.2,16.9
0.4,6.7,-30.7,56.2,-0.5,16.8
0.4333,7.8,-30.8,56.4,-0.8,16.9
0.4667,9.0,-30.7,56.9,-1.1,17.3
0.5,10.4,-30.4,57.5,-1.4,18.0
0.5333,11.7,-29.9,58.2,-1.6,18.9
0.5667,12.8,-29.3,58.4,-1.6,19.6
0.6,13.5,-28.9,58.2,-1.3,20.1
0.6333,13.9,-28.8,57.3,-0.9,20.0
0.6667,14.1,-29.1,55.9,-0.2,19.4
0.7,14.0,-29.8,54.3,0.7,18.4
0.7333,13.7,-30.8,52.8,1.7,17.3
0.7667,13.1,-31.8,51.8,2.7,16.3
0.8,12.4,-32.8,51.6,3.7,15.6
0.8333,11.5,-33.4,52.2,4.6,15.5
0.8667,10.4,-33.5,53.7,5.4,16.1
0.9,9.3,-33.1,55.9,6.0,17.1
0.9333,8.1,-32.2,58.5,6.3,18.6
0.9667,6.9,-30.9,61.0,6.4,20.2
1.0,5.6,-29.4,63.2,6.2,21.7
1.0333,4.3,-27.9,64.6,5.7,22.7
1.0667,3.1,-26.7,65.1,5.0,23.1
1.1,1.8,-25.9,64.6,4.1,22.8
1.1333,0.6,-25.6,63.1,3.0,21.7
1.1667,-0.6,-26.0,61.1,1.7,20.1
1.2,-1.7,-26.8,58.6,0.3,18.1
1.2333,-2.8,-28.1,56.3,-1.2,16.0
1.2667,-3.8,-29.5,54.3,-2.7,14.2
1.3,-4.7,-30.8,52.9,-4.1,12.9
1.3333,-5.5,-31.9,52.4,-5.5,12.3
1.3667,-6.2,-32.6,52.7,-6.6,12.4
1.4,-6.9,-32.7,53.7,-7.6,13.3
1.4333,-7.4,-32.4,55.2,-8.3,14.7
1.4667,-7.8,-31.7,56.7,-8.7,16.4
1.5,-8.1,-30.8,58.1,-8.9,18.2
1.5333,-8.3,-29.8,58.9,-8.7,19.6
1.5667,-8.4,-29.0,59.1,-8.3,20.6
1.6,-8.4,-28.5,58.5,-7.6,20.9
1.6333,-8.2,-28.5,57.3,-6.6,20.7
1.6667,-8.0,-28.9,55.7,-5.5,19.8
1.7,-7.6,-29.7,54.0,-4.2,18.7
1.7333,-7.2,-30.8,52.5,-2.8,17.5
1.7667,-6.7,-31.9,51.5,-1.3,16.4
1.8,-6.1,-32.8,51.4,0.2,15.8
1.8333,-5.4,-33.4,52.1,1.6,15.7
1.8667,-4.6,-33.5,53.7,2.9,16.3
1.9,-3.8,-33.1,55.9,4.0,17.4
1.9333,-3.0,-32.1,58.5,4.9,18.9
1.9667,-2.1,-30.8,61.0,5.6,20.5
2.0,-1.2,-29.3,63.2,6.1,22.0
2.0333,-0.3,-27.8,64.6,6.3,23.0
2.0667,0.6,-26.6,65.1,6.2,23.4
2.1,1.5,-25.8,64.5,5.9,23.1
2.1333,2.4,-25.6,63.1,5.3,22.0
2.1667,3.2,-25.9,61.1,4.6,20.4
2.2,4.0,-26.8,58.6,3.7,18.4
2.2333,4.8,-28.0,56.3,2.7,16.3
2.2667,5.4,-29.4,54.3,1.7,14.5
2.3,6.1,-30.8,52.9,0.7,13.2
2.3333,6.6,-31.9,52.4,-0.3,12.6
2.3667,7.1,-32.6,52.7,-1.2,12.7
2.4,7.4,-32.7,53.8,-1.9,13.6
2.4333,7.7,-32.4,55.2,-2.5,15.0
2.4667,7.9,-31.7,56.8,-2.8,16.7
2.5,8.0,-30.8,58.1,-2.9,18.4
2.5333,8.0,-29.9,59.0,-2.8,19.9
2.5667,7.9,-29.1,59.1,-2.5,20.8
2.6,7.7,-28.6,58.6,-1.9,21.2
2.6333,7.4,-28.6,57.4,-1.2,20.9
2.6667,7.1,-29.1,55.7,-0.3,20.0
2.7,6.6,-29.9,54.0,0.7,18.9
2.7333,6.1,-30.9,52.5,1.7,17.6
2.7667,5.5,-32.0,51.6,2.7,16.5
2.8,4.8,-33.0,51.4,3.7,15.9
2.8333,4.1,-33.6,52.1,4.6,15.8
2.8667,3.3,-33.7,53.7,5.3,16.4
2.9,2.6,-33.3,55.9,5.8,17.5
2.9333,1.7,-32.3,58.4,6.2,18.9
2.9667,0.9,-31.0,61.0,6.2,20.5
3.0,0.1,-29.5,63.1,6.1,22.0
3.0333,-0.8,-28.0,64.5,5.6,23.0
3.0667,-1.6,-26.8,65.0,4.9,23.4
3.1,-2.3,-26.0,64.5,4.0,23.0
3.1333,-3.1,-25.8,63.0,2.8,21.9
3.1667,-3.8,-26.2,60.9,1.5,20.3
3.2,-4.4,-27.0,58.5,0.1,18.3
3.2333,-5.0,-28.2,56.1,-1.3,16.2
