timestamp,base_yaw.pos,base_pitch.pos,elbow_pitch.pos,wrist_roll.pos,wrist_pitch.pos
0.0,3.0,-30.0,60,2.3971,18.0
0.0333,4.7483,-23.7877,60,2.7337,18.6174
0.0667,6.5017,-22.3977,60,3.0543,19.1761
0.1,8.25,-22.0889,57,3.3552,19.618
0.1333,9.9983,-22.0199,57,3.6355,19.9019
0.1667,10.0,-28.0011,57,3.8941,20.0
0.2,10.0,-28.0002,57,4.1279,19.9021
0.2333,10.0,-28.0001,57,4.3364,19.6184
0.2667,10.0,-28.0,57,4.5186,19.1751
0.3,10.0,-28.0,57,4.6725,18.618
0.3333,10.0,-28.0,57,4.7976,18.0006
0.3667,10.0,-28.0,57,4.8935,17.3814
0.4,10.0,-28.0,57,4.9589,16.8244
0.4333,10.0,-28.0,57,4.9938,16.3823
0.4667,10.0,-28.0,57,4.9979,16.0977
0.5,10.0,-28.0,57,4.9712,16.0
0.5333,10.0,-28.0,57,4.914,16.0977
0.5667,10.0,-28.0,57,4.8262,16.3823
0.6,10.0,-28.0,57,4.7089,16.8244
0.6333,10.0,-28.0,57,4.5626,17.3814
0.6667,3.0017,-29.988,60,4.3877,18.0006
0.7,4.75,-23.785,60,4.1863,18.618
0.7333,6.4982,-22.3989,60,3.9591,19.1751
0.7667,8.2518,-22.0887,57,3.7068,19.6184
0.8,10.0,-28.005,57,3.4324,19.9021
0.8333,10.0,-28.0011,57,3.1369,20.0
0.8667,10.0,-28.0002,57,2.8211,19.9019
0.9,10.0,-28.0001,57,2.4888,19.618
0.9333,10.0,-28.0,57,2.1413,19.1761
0.9667,10.0,-28.0,57,1.7794,18.6174
1.0,10.0,-28.0,57,1.4077,18.0
1.0333,10.0,-28.0,57,1.0273,17.3826
1.0667,10.0,-28.0,57,0.6394,16.8239
1.1,10.0,-28.0,57,0.2488,16.382
1.1333,10.0,-28.0,57,-0.1434,16.0981
1.1667,10.0,-28.0,57,-0.5359,16.0
1.2,10.0,-28.0,57,-0.9239,16.0979
1.2333,10.0,-28.0,57,-1.3062,16.3816
1.2667,10.0,-28.0,57,-1.6816,16.8249
1.3,10.0,-28.0,57,-2.0455,17.382
1.3333,10.0,-28.0,57,-2.3968,17.9994
1.3667,1.2482,-23.7824,60,-2.7343,18.6186
1.4,-0.5,-22.3983,60,-3.054,19.1756
1.4333,-2.2483,-22.089,60,-3.3549,19.6177
1.4667,-4.0,-28.005,57,-3.636,19.9023
1.5,-4.0,-28.0011,57,-3.8938,20.0
1.5333,-4.0,-28.0002,57,-4.1277,19.9023
1.5667,-4.0,-28.0001,57,-4.3368,19.6177
1.6,-4.0,-28.0,57,-4.5185,19.1756
1.6333,-4.0,-28.0,57,-4.6724,18.6186
1.6667,-4.0,-28.0,57,-4.7979,17.9994
1.7,-4.0,-28.0,57,-4.8934,17.382
1.7333,-4.0,-28.0,57,-4.9588,16.8249
1.7667,-4.0,-28.0,57,-4.9938,16.3816
1.8,-4.0,-28.0,57,-4.9979,16.0979
1.8333,-4.0,-28.0,57,-4.9713,16.0
1.8667,-4.0,-28.0,57,-4.9138,16.0981
1.9,-4.0,-28.0,57,-4.8263,16.382
1.9333,-4.0,-28.0,57,-4.709,16.8239
1.9667,-4.0,-28.0,57,-4.5623,17.3826
2.0,3.0,-30.0,60,-4.3879,18.0
2.0333,1.2517,-23.7877,60,-4.1865,18.6174
2.0667,-0.5018,-22.3977,60,-3.9587,19.1761
2.1,-2.25,-22.0889,57,-3.7071,19.618
2.1333,-3.9983,-22.0199,57,-3.4327,19.9019
