timestamp,base_yaw.pos,base_pitch.pos,elbow_pitch.pos,wrist_roll.pos,wrist_pitch.pos
0.0,3.0,-30.0,57.0,0.0,18.0
0.0333,3.0,-30.0,57.0,-0.0,18.0
0.0667,3.0,-30.0,57.0,-0.0,18.0
0.1,3.1,-30.0,57.0,-0.1,18.0
0.1333,3.1,-30.0,57.0,-0.1,18.0
0.1667,3.2,-30.0,57.0,-0.2,18.0
0.2,3.4,-30.0,57.0,-0.3,18.0
0.2333,3.7,-30.0,57.0,-0.4,18.0
0.2667,4.0,-30.0,57.0,-0.4,18.0
0.3,4.4,-30.0,57.0,-0.5,18.0
0.3333,4.9,-30.0,57.0,-0.5,18.0
0.3667,5.4,-30.0,57.0,-0.5,18.0
0.4,6.0,-30.0,57.0,-0.5,18.0
0.4333,6.7,-30.0,57.0,-0.5,18.0
0.4667,7.5,-30.0,57.0,-0.5,18.0
0.5,8.3,-30.0,57.0,-0.5,18.1
0.5333,9.2,-30.0,57.1,-0.5,18.1
0.5667,9.9,-30.0,57.1,-0.5,18.2
0.6,10.6,-30.0,57.1,-0.4,18.2
0.6333,11.2,-29.9,57.1,-0.4,18.3
0.6667,11.7,-29.9,57.2,-0.4,18.4
0.7,12.1,-29.8,57.2,-0.4,18.5
0.7333,12.5,-29.8,57.3,-0.4,18.8
0.7667,12.7,-29.7,57.5,-0.4,19.2
0.8,12.9,-29.5,57.8,-0.4,19.9
0.8333,13.1,-29.4,58.3,-0.4,21.0
0.8667,13.2,-29.2,58.9,-0.4,22.4
0.9,13.2,-29.0,59.8,-0.3,24.2
0.9333,13.3,-28.7,60.7,-0.3,26.2
0.9667,13.3,-28.5,61.8,-0.3,28.2
1.0,13.3,-28.2,62.8,-0.3,30.2
1.0333,13.3,-27.9,63.9,-0.3,32.2
1.0667,13.3,-27.6,64.8,-0.4,34.2
1.1,13.3,-27.4,65.6,-0.4,36.2
1.1333,13.4,-27.2,66.2,-0.4,38.1
1.1667,13.4,-27.1,66.5,-0.4,38.9
1.2,13.4,-27.1,66.6,-0.4,39.2
1.2333,13.4,-27.1,66.5,-0.4,39.0
1.2667,13.4,-27.2,66.2,-0.4,38.2
1.3,13.4,-27.4,65.6,-0.4,36.9
1.3333,13.5,-27.6,64.9,-0.4,35.3
1.3667,13.5,-27.9,64.0,-0.5,33.4
1.4,13.5,-28.2,63.1,-0.5,31.4
1.4333,13.5,-28.5,62.2,-0.5,29.4
1.4667,13.6,-28.7,61.3,-0.5,27.4
1.5,13.6,-29.0,60.4,-0.5,25.5
1.5333,13.6,-29.2,59.7,-0.5,23.9
1.5667,13.6,-29.4,59.1,-0.5,22.5
1.6,13.7,-29.5,58.5,-0.5,21.4
1.6333,13.7,-29.7,58.1,-0.5,20.4
1.6667,13.7,-29.8,57.8,-0.6,19.7
1.7,13.7,-29.8,57.5,-0.6,19.2
1.7333,13.7,-29.9,57.4,-0.6,18.8
1.7667,13.7,-29.9,57.2,-0.6,18.5
1.8,13.7,-30.0,57.2,-0.6,18.4
1.8333,13.8,-30.0,57.1,-0.5,18.2
1.8667,13.8,-30.0,57.1,-0.5,18.2
1.9,13.8,-30.0,57.1,-0.5,18.2
1.9333,13.7,-30.0,57.1,-0.5,18.2
1.9667,13.7,-30.0,57.1,-0.5,18.2
2.0,13.7,-29.9,57.1,-0.5,18.2
2.0333,13.7,-29.9,57.1,-0.5,18.3
2.0667,13.7,-29.9,57.2,-0.5,18.5
2.1,13.7,-29.8,57.3,-0.5,18.7
2.1333,13.7,-29.7,57.5,-0.4,19.2
2.1667,13.6,-29.6,57.9,-0.4,20.0
2.2,13.6,-29.4,58.3,-0.4,21.0
2.2333,13.6,-29.3,59.0,-0.4,22.4
2.2667,13.6,-29.1,59.7,-0.4,24.1
2.3,13.6,-28.9,60.5,-0.4,25.8
2.3333,13.5,-28.6,61.3,-0.3,27.6
2.3667,13.5,-28.4,62.1,-0.3,29.3
2.4,13.5,-28.3,62.8,-0.3,30.7
2.4333,13.5,-28.1,63.3,-0.3,31.8
2.4667,13.5,-28.0,63.6,-0.3,32.5
2.5,13.4,-28.0,63.7,-0.3,32.7
2.5333,13.4,-28.0,63.6,-0.3,32.5
2.5667,13.4,-28.1,63.3,-0.2,31.8
2.6,13.4,-28.3,62.8,-0.2,30.8
2.6333,13.4,-28.4,62.2,-0.2,29.4
2.6667,13.4,-28.6,61.5,-0.2,27.9
2.7,13.4,-28.9,60.8,-0.2,26.3
2.7333,13.4,-29.1,60.1,-0.2,24.8
2.7667,13.4,-29.3,59.4,-0.2,23.3
2.8,13.4,-29.4,58.9,-0.2,22.1
2.8333,13.4,-29.6,58.4,-0.2,21.0
2.8667,13.4,-29.7,58.0,-0.2,20.2
2.9,13.5,-29.8,57.7,-0.2,19.5
2.9333,13.5,-29.9,57.5,-0.2,19.0
2.9667,13.5,-29.9,57.3,-0.1,18.7
3.0,13.5,-29.9,57.2,-0.1,18.4
3.0333,13.5,-30.0,57.1,-0.1,18.3
3.0667,13.5,-30.0,57.1,-0.1,18.1
3.1,13.6,-30.0,57.0,-0.1,18.1
3.1333,13.6,-30.0,57.0,-0.1,18.0
3.1667,13.6,-30.0,57.0,-0.1,18.0
3.2,13.6,-30.0,57.0,-0.0,18.0
