timestamp,base_yaw.pos,base_pitch.pos,elbow_pitch.pos,wrist_roll.pos,wrist_pitch.pos
0.0,3.0,-30.0,57.0,0.0,18.0
0.0333,3.0,-30.0,57.0,-0.0,18.0
0.0667,2.9,-29.9,57.2,-0.1,18.3
0.1,2.8,-29.5,57.8,-0.4,18.9
0.1333,2.6,-28.8,58.8,-0.9,20.2
0.1667,2.1,-27.7,60.5,-1.7,22.4
0.2,1.5,-26.0,63.0,-2.9,25.5
0.2333,0.9,-24.4,65.6,-4.1,28.7
0.2667,0.5,-23.2,67.3,-5.0,30.8
0.3,0.2,-22.6,68.3,-5.5,32.1
0.3333,0.1,-22.2,68.8,-5.7,32.8
0.3667,0.0,-22.1,69.0,-5.8,33.1
0.4,0.0,-22.1,69.1,-5.9,33.1
0.4333,1.0,-21.0,69.7,-5.7,33.6
0.4667,0.4,-21.6,69.0,-6.4,32.9
0.5,-0.0,-22.0,68.6,-6.8,32.6
0.5333,0.7,-21.3,69.3,-6.1,33.3
0.5667,0.9,-21.1,69.5,-5.9,33.5
0.6,0.2,-21.8,68.9,-6.5,32.8
0.6333,0.1,-21.9,68.8,-6.6,32.8
0.6667,0.7,-21.3,69.4,-6.0,33.4
0.7,0.6,-21.4,69.4,-6.0,33.4
0.7333,0.1,-21.9,68.8,-6.6,32.9
0.7667,0.2,-21.8,69.0,-6.4,33.1
0.8,0.7,-21.3,69.4,-5.9,33.5
0.8333,0.4,-21.6,69.2,-6.2,33.3
0.8667,0.0,-22.0,68.8,-6.5,33.0
0.9,0.3,-21.7,69.1,-6.3,33.3
0.9333,0.6,-21.4,69.4,-6.0,33.5
0.9667,0.2,-21.8,69.1,-6.3,33.2
1.0,0.0,-22.0,68.9,-6.5,33.1
1.0333,0.3,-21.7,69.3,-6.2,33.4
1.0667,0.4,-21.6,69.4,-6.1,33.5
1.1,0.1,-21.9,69.0,-6.4,33.2
1.1333,0.0,-22.0,69.0,-6.4,33.2
1.1667,0.3,-21.7,69.3,-6.1,33.5
1.2,0.2,-21.8,69.3,-6.1,33.4
1.2333,-0.0,-22.0,69.0,-6.4,33.2
1.2667,0.0,-22.0,69.1,-6.3,33.3
1.3,0.2,-21.8,69.3,-6.1,33.5
1.3333,0.1,-21.9,69.2,-6.2,33.3
1.3667,-0.1,-22.1,69.0,-6.4,33.2
1.4,0.0,-22.0,69.2,-6.2,33.3
1.4333,0.1,-21.9,69.3,-6.1,33.4
1.4667,-0.0,-22.0,69.1,-6.2,33.3
1.5,-0.1,-22.1,69.1,-6.3,33.2
1.5333,0.0,-22.0,69.2,-6.2,33.3
1.5667,0.1,-21.9,69.3,-6.1,33.4
1.6,-0.1,-22.1,69.1,-6.2,33.2
1.6333,-0.1,-22.1,69.1,-6.2,33.2
1.6667,0.0,-22.0,69.2,-6.1,33.3
1.7,-0.0,-22.0,69.2,-6.1,33.3
1.7333,-0.1,-22.1,69.1,-6.2,33.1
1.7667,-0.1,-22.1,69.1,-6.1,33.2
1.8,0.0,-22.0,69.2,-6.0,33.2
1.8333,-0.1,-22.1,69.2,-6.1,33.2
1.8667,-0.1,-22.1,69.1,-6.1,33.1
1.9,-0.1,-22.1,69.1,-6.0,33.1
1.9333,-0.0,-22.0,69.2,-6.0,33.2
1.9667,-0.1,-22.1,69.1,-6.0,33.1
2.0,-0.1,-22.1,69.1,-6.0,33.1
2.0333,-0.0,-22.0,69.2,-5.9,33.1
2.0667,-0.0,-22.0,69.2,-5.9,33.1
2.1,-0.1,-22.1,69.1,-6.0,33.0
2.1333,-0.1,-22.1,69.1,-5.9,33.0
2.1667,-0.0,-22.0,69.2,-5.9,33.1
2.2,-0.0,-22.0,69.2,-5.8,33.1
2.2333,0.1,-22.1,68.9,-6.1,33.1
2.2667,0.1,-22.1,68.9,-6.1,33.1
2.3,0.1,-22.1,68.8,-6.1,33.1
2.3333,0.1,-22.1,68.8,-6.1,33.0
2.3667,0.1,-22.1,68.8,-6.1,33.0
2.4,0.1,-22.1,68.8,-6.0,33.0
2.4333,0.1,-22.1,68.7,-6.0,32.9
2.4667,0.1,-22.2,68.7,-6.0,32.9
2.5,0.1,-22.2,68.6,-6.0,32.8
2.5333,0.1,-22.2,68.6,-5.9,32.7
2.5667,0.1,-22.3,68.5,-5.9,32.6
2.6,0.1,-22.4,68.3,-5.8,32.4
2.6333,0.2,-22.5,68.2,-5.8,32.2
2.6667,0.2,-22.6,68.0,-5.7,32.0
2.7,0.2,-22.7,67.8,-5.6,31.8
2.7333,0.3,-22.8,67.6,-5.5,31.5
2.7667,0.4,-23.0,67.4,-5.3,31.2
2.8,0.4,-23.2,67.1,-5.2,30.8
2.8333,0.5,-23.4,66.8,-5.0,30.4
2.8667,0.6,-23.6,66.5,-4.8,30.0
2.9,0.7,-23.9,66.1,-4.7,29.5
2.9333,0.8,-24.1,65.7,-4.4,29.0
2.9667,0.9,-24.4,65.2,-4.2,28.4
3.0,1.0,-24.8,64.7,-3.9,27.8
3.0333,1.2,-25.2,64.2,-3.7,27.1
3.0667,1.3,-25.5,63.6,-3.4,26.3
3.1,1.5,-26.0,62.9,-3.0,25.5
3.1333,1.6,-26.4,62.3,-2.7,24.7
3.1667,1.8,-26.8,61.7,-2.4,24.0
