timestamp,base_yaw.pos,base_pitch.pos,elbow_pitch.pos,wrist_roll.pos,wrist_pitch.pos
0.0,3.0,-29.9,57.1,-0.2,18.0
0.0333,3.1,-29.9,57.1,-0.2,18.0
0.0667,3.5,-29.9,57.1,-0.2,18.1
0.1,4.5,-29.8,57.1,-0.2,18.1
0.1333,5.1,-29.4,57.2,-0.2,18.1
0.1667,5.3,-29.2,57.5,-0.1,18.2
0.2,5.3,-29.1,57.8,0.2,18.5
0.2333,5.3,-29.1,57.9,0.7,18.7
0.2667,5.0,-29.2,57.8,0.9,18.7
0.3,4.6,-29.2,57.8,1.0,18.7
0.3333,3.7,-29.4,57.7,1.0,18.7
0.3667,2.4,-29.7,57.6,0.9,18.7
0.4,0.6,-30.2,57.3,0.7,18.5
0.4333,-1.9,-30.9,56.8,0.4,18.3
0.4667,-5.1,-31.8,56.2,-0.1,17.9
0.5,-8.9,-33.0,55.3,-0.9,17.4
0.5333,-13.5,-34.4,54.1,-2.0,16.7
0.5667,-18.1,-36.0,52.8,-3.5,15.8
0.6,-21.9,-37.6,51.2,-5.4,14.7
0.6333,-24.8,-39.0,49.5,-7.6,13.4
0.6667,-27.1,-40.0,48.1,-10.1,12.1
0.7,-28.8,-40.8,47.0,-12.4,11.0
0.7333,-30.0,-41.4,46.2,-14.2,10.1
0.7667,-30.8,-41.8,45.5,-15.7,9.5
0.8,-31.3,-42.1,45.1,-16.8,9.0
0.8333,-31.5,-42.2,44.8,-17.6,8.6
0.8667,-31.6,-42.3,44.6,-18.1,8.4
0.9,-31.6,-42.3,44.5,-18.5,8.3
0.9333,-31.6,-42.3,44.4,-18.7,8.2
0.9667,-31.4,-42.3,44.4,-18.7,8.2
1.0,-30.9,-42.2,44.4,-18.8,8.2
1.0333,-29.9,-42.0,44.5,-18.8,8.2
1.0667,-28.6,-41.7,44.7,-18.7,8.2
1.1,-27.7,-41.2,45.0,-18.6,8.4
1.1333,-27.3,-40.9,45.5,-18.2,8.6
1.1667,-27.1,-40.8,45.8,-17.6,9.0
1.2,-27.1,-40.7,45.9,-16.9,9.2
1.2333,-25.6,-39.7,46.0,-16.6,9.4
1.2667,-25.5,-39.7,46.0,-16.4,9.4
1.3,-25.5,-39.7,47.3,-16.4,9.4
1.3333,-25.5,-39.7,47.3,-15.0,10.2
1.3667,-25.4,-39.7,47.3,-15.1,10.2
1.4,-25.4,-39.8,47.3,-15.1,10.2
1.4333,-25.4,-39.8,47.2,-15.2,10.2
1.4667,-25.4,-39.8,47.2,-15.2,10.2
1.5,-25.4,-39.8,47.2,-15.2,10.2
1.5333,-25.4,-39.8,47.2,-15.3,10.2
1.5667,-25.5,-39.9,47.2,-15.3,10.2
1.6,-25.5,-39.9,47.2,-15.3,10.2
1.6333,-25.4,-39.9,47.1,-15.3,10.2
1.6667,-25.4,-39.9,47.1,-15.3,10.2
1.7,-25.4,-39.9,47.1,-15.3,10.2
1.7333,-25.4,-39.9,47.1,-15.2,10.1
1.7667,-25.4,-39.9,47.1,-15.2,10.1
1.8,-25.4,-39.9,47.1,-15.1,10.1
1.8333,-25.3,-39.9,47.1,-15.1,10.1
1.8667,-25.3,-39.9,47.1,-15.1,10.0
1.9,-25.3,-39.9,47.1,-15.0,10.0
1.9333,-25.2,-39.9,47.1,-15.0,10.0
1.9667,-25.2,-39.9,47.1,-14.9,10.0
2.0,-25.1,-39.9,47.1,-14.9,10.0
2.0333,-25.1,-40.0,47.1,-14.8,10.0
2.0667,-25.0,-40.0,47.0,-14.8,10.1
2.1,-24.8,-40.0,47.0,-14.8,10.1
2.1333,-24.6,-40.0,47.0,-14.7,10.2
2.1667,-24.4,-40.0,47.0,-14.7,10.3
2.2,-24.0,-40.0,47.0,-14.6,10.4
2.2333,-23.6,-40.0,47.0,-14.6,10.5
2.2667,-23.1,-40.0,47.0,-14.4,10.7
2.3,-22.5,-40.0,47.0,-14.3,10.9
2.3333,-21.7,-40.0,47.0,-14.1,11.1
2.3667,-20.9,-40.0,47.0,-13.9,11.3
2.4,-20.0,-40.0,47.0,-13.7,11.6
2.4333,-19.1,-39.9,47.0,-13.4,11.9
2.4667,-18.1,-39.9,47.1,-13.1,12.2
2.5,-17.1,-39.9,47.1,-12.8,12.5
2.5333,-16.1,-39.9,47.1,-12.5,12.9
