timestamp,base_yaw.pos,base_pitch.pos,elbow_pitch.pos,wrist_roll.pos,wrist_pitch.pos
0.0,3.0,-30.0,57.0,0.0,18.0
0.0333,3.0001,-29.9997,56.9996,-0.0001,18.0
0.0667,3.0088,-29.9895,56.9951,-0.0072,18.0027
0.1,3.0225,-29.9758,56.9908,-0.018,18.007
0.1333,3.0498,-29.9517,56.9856,-0.0388,18.0155
0.1667,3.0986,-29.9128,56.9807,-0.0752,18.0309
0.2,3.1792,-29.8539,56.9779,-0.1345,18.0562
0.2333,3.304,-29.7692,56.9795,-0.2251,18.095
0.2667,3.4874,-29.6532,56.9884,-0.3569,18.151
0.3,3.7453,-29.4998,57.0072,-0.5407,18.2281
0.3333,4.0955,-29.3034,57.0387,-0.7887,18.3302
0.3667,4.5568,-29.0587,57.0851,-1.1136,18.4607
0.4,5.1477,-28.7616,57.1477,-1.5279,18.6219
0.4333,5.8808,-28.4123,57.2261,-2.04,18.8138
0.4667,6.7532,-28.019,57.3175,-2.6472,19.0314
0.5,7.7392,-27.6008,57.4157,-3.3313,19.2636
0.5333,8.7925,-27.185,57.5115,-4.0597,19.494
0.5667,9.859,-26.7999,57.5949,-4.7947,19.7054
0.6,10.8925,-26.4665,57.6569,-5.5043,19.8846
0.6333,11.8624,-26.1955,57.6911,-6.1679,20.0236
0.6667,12.7527,-25.9897,57.6937,-6.7748,20.1195
0.7,13.5553,-25.8472,57.6631,-7.3201,20.1723
0.7333,14.2666,-25.7641,57.5994,-7.8017,20.1837
0.7667,14.8854,-25.7357,57.5037,-8.2192,20.1564
0.8,15.413,-25.7563,57.3784,-8.5738,20.0937
0.8333,15.853,-25.8199,57.2262,-8.8683,19.9995
0.8667,16.2108,-25.9201,57.0505,-9.1067,19.8782
0.9,16.4938,-26.0504,56.8547,-9.2943,19.7342
0.9333,16.7106,-26.2045,56.6421,-9.437,19.5719
0.9667,16.8703,-26.3763,56.416,-9.5413,19.3953
1.0,16.9816,-26.5606,56.179,-9.6132,19.208
1.0333,17.0513,-26.753,55.9337,-9.6575,19.0132
1.0667,17.0839,-26.9501,55.6826,-9.6774,18.8135
1.1,17.0819,-27.1493,55.4279,-9.6746,18.6112
1.1333,17.0465,-27.3484,55.1721,-9.6498,18.4083
1.1667,16.978,-27.5454,54.9174,-9.6036,18.2067
1.2,16.8769,-27.7385,54.666,-9.5361,18.0083
1.2333,16.7437,-27.926,54.4201,-9.4477,17.815
1.2667,16.5789,-28.1061,54.1819,-9.3388,17.6282
1.3,16.3831,-28.2775,53.9532,-9.2099,17.4498
1.3333,16.1571,-28.4387,53.7358,-9.0614,17.2811
1.3667,15.9017,-28.5883,53.5315,-8.894,17.1234
1.4,15.6177,-28.7254,53.3418,-8.7081,16.978
1.4333,15.3062,-28.849,53.1679,-8.5044,16.8458
1.4667,14.9681,-28.9583,53.0109,-8.2836,16.7278
1.5,14.6044,-29.0527,52.8719,-8.0464,16.6245
1.5333,14.2164,-29.1319,52.7514,-7.7934,16.5364
1.5667,13.8052,-29.1957,52.65,-7.5255,16.464
1.6,13.3721,-29.2439,52.5679,-7.2434,16.4071
1.6333,12.9182,-29.2769,52.5051,-6.9478,16.3659
1.6667,12.445,-29.2948,52.4616,-6.6396,16.34
1.7,11.9537,-29.2983,52.4368,-6.3196,16.3289
1.7333,11.4457,-29.2879,52.4303,-5.9886,16.3322
1.7667,10.9225,-29.2645,52.4411,-5.6475,16.349
1.8,10.3853,-29.2291,52.4683,-5.2971,16.3785
1.8333,9.8357,-29.1827,52.5108,-4.9383,16.4195
1.8667,9.2751,-29.1266,52.5671,-4.572,16.4711
1.9,8.7049,-29.0619,52.6359,-4.1989,16.5318
1.9333,8.1266,-28.9901,52.7156,-3.8201,16.6004
1.9667,7.5416,-28.9126,52.8045,-3.4364,16.6754
2.0,6.9514,-28.8308,52.9007,-3.0487,16.7555
2.0333,6.3575,-28.7461,53.0025,-2.6579,16.8391
2.0667,5.7613,-28.6601,53.108,-2.2649,16.9248
2.1,5.1643,-28.5741,53.2154,-1.8705,17.0111
2.1333,4.5679,-28.4897,53.3227,-1.4759,17.0966
2.1667,3.9735,-28.4081,53.4282,-1.0817,17.1799
2.2,3.3826,-28.3307,53.5301,-0.6891,17.2595
2.2333,2.7966,-28.2585,53.6266,-0.2988,17.3345
2.2667,2.2169,-28.1928,53.7162,0.0882,17.4034
2.3,1.6448,-28.1346,53.7974,0.4709,17.4655
2.3333,1.0819,-28.0846,53.8689,0.8485,17.5196
2.3667,0.5293,-28.0436,53.9296,1.22,17.5651
2.4,-0.0116,-28.0122,53.9783,1.5844,17.6014
2.4333,-0.5395,-27.9907,54.0144,1.941,17.6279
2.4667,-1.053,-27.9796,54.0372,2.2888,17.6444
2.5,-1.5511,-27.979,54.0462,2.6269,17.6507
2.5333,-2.0324,-27.9887,54.0414,2.9545,17.6468
2.5667,-2.4958,-28.0086,54.0226,3.2707,17.6328
2.6,-2.9401,-28.0383,53.9902,3.5746,17.6091
2.6333,-3.3644,-28.0775,53.9446,3.8656,17.5762
2.6667,-3.7675,-28.1254,53.8863,4.1428,17.5346
2.7,-4.1485,-28.1813,53.8164,4.4056,17.4851
2.7333,-4.5064,-28.2443,53.7358,4.6532,17.4286
2.7667,-4.8404,-28.3135,53.6457,4.885,17.366
2.8,-5.1498,-28.3878,53.5474,5.1003,17.2986
2.8333,-5.4336,-28.4659,53.4427,5.2987,17.2273
2.8667,-5.6914,-28.5467,53.333,5.4797,17.1536
2.9,-5.9225,-28.6289,53.2201,5.6428,17.0786
2.9333,-6.1265,-28.7112,53.1059,5.7877,17.0037
2.9667,-6.3028,-28.7921,52.9923,5.9139,16.9304
3.0,-6.4512,-28.8704,52.8812,6.0214,16.8599
3.0333,-6.5714,-28.9446,52.7746,6.1098,16.7936
3.0667,-6.6634,-29.0136,52.6743,6.1792,16.7328
3.1,-6.7269,-29.0759,52.5823,6.2293,16.6789
3.1333,-6.762,-29.1305,52.5005,6.2603,16.633
3.1667,-6.7689,-29.1761,52.4305,6.2723,16.5962
3.2,-6.7478,-29.2116,52.374,6.2653,16.5696
3.2333,-6.6989,-29.2362,52.3325,6.2396,16.5542
3.2667,-6.6227,-29.249,52.3073,6.1955,16.5507
3.3,-6.5196,-29.2493,52.2996,6.1333,16.5598
3.3333,-6.3903,-29.2365,52.3104,6.0534,16.5821
