timestamp,base_yaw.pos,base_pitch.pos,elbow_pitch.pos,wrist_roll.pos,wrist_pitch.pos
0.0,-1.8,-44.8,42.0,-5.0,6.1
0.0333,-1.8,-44.8,42.1,-5.0,6.1
0.0667,-1.8,-44.8,42.1,-5.1,6.1
0.1,-1.8,-44.8,42.1,-5.1,6.1
0.1333,-1.8,-44.8,42.1,-5.1,6.1
0.1667,-1.8,-44.8,42.2,-5.1,6.1
0.2,-1.8,-44.8,42.2,-5.1,6.1
0.2333,-1.9,-44.9,42.2,-5.2,6.0
0.2667,-1.9,-44.9,42.2,-5.2,6.0
0.3,-1.9,-44.9,42.2,-5.2,6.0
0.3333,-1.9,-44.9,42.2,-5.2,6.0
0.3667,-1.9,-44.9,42.2,-5.2,6.0
0.4,-1.9,-44.9,42.2,-5.2,6.0
0.4333,-1.9,-44.9,42.2,-5.2,6.0
0.4667,-1.9,-44.9,42.2,-5.3,6.0
0.5,-1.9,-44.9,42.2,-5.3,6.0
0.5333,-1.9,-44.9,42.2,-5.3,6.0
0.5667,-1.9,-44.9,42.2,-5.3,6.0
0.6,-1.9,-44.9,42.2,-5.3,6.0
0.6333,-1.9,-44.9,42.2,-5.3,6.0
0.6667,-1.9,-44.9,42.2,-5.3,5.9
0.7,-1.9,-44.9,42.2,-5.3,5.9
0.7333,-1.9,-44.9,42.2,-5.3,5.9
0.7667,-1.9,-44.9,42.2,-5.3,5.9
0.8,-1.9,-44.9,42.2,-5.2,5.9
0.8333,-2.0,-45.0,42.1,-5.2,5.8
0.8667,-2.0,-45.0,42.1,-5.2,5.8
0.9,-2.0,-45.0,42.1,-5.2,5.8
0.9333,-2.0,-45.0,42.1,-5.2,5.8
0.9667,-2.0,-45.0,42.1,-5.1,5.8
1.0,-2.0,-45.0,42.1,-5.1,5.8
1.0333,-2.0,-45.0,42.0,-5.0,6.0
1.0667,-2.0,-45.0,42.0,-5.0,6.0
1.1,-2.0,-45.0,42.0,-5.0,6.0
1.1333,-2.0,-45.0,42.0,-5.0,6.0
1.1667,-2.0,-45.0,42.0,-5.0,6.0
1.2,-2.0,-45.0,42.0,-5.0,6.0
1.2333,-2.0,-45.0,42.0,-5.0,6.0
1.2667,-2.0,-44.9,42.1,-5.0,6.1
1.3,-2.0,-44.9,42.1,-5.0,6.1
1.3333,-2.0,-44.9,42.1,-5.0,6.1
1.3667,-1.9,-44.8,42.2,-4.9,6.2
1.4,-1.9,-44.8,42.2,-4.9,6.2
